component,singular_value,explained_variance_ratio,cumulative_evr
1,934.3027691802205,0.03624830049214013,0.03624830049214013
2,561.9642714054194,0.01311383717364981,0.04936213766578994
3,406.22492117506897,0.006852444132595824,0.05621458179838576
4,335.9774072508237,0.0046874055069413235,0.06090198730532708
5,322.83926387195976,0.00432797829450553,0.06522996559983261
6,299.4924090338851,0.003724637536137213,0.06895460313596982
7,288.31756892373187,0.003451871276043348,0.07240647441201317
8,254.38842190706967,0.0026872437388907044,0.07509371815090388
9,235.59482179747525,0.0023048563266031535,0.07739857447750703
10,230.14418478651427,0.0021994413660348907,0.07959801584354192
11,224.7650790348627,0.002097828841666912,0.08169584468520884
12,217.98340507617806,0.0019731460933409078,0.08366899077854975
13,208.97822914592837,0.0018134870836182479,0.085482477862168
14,203.85045029049107,0.0017255824992485284,0.08720806036141654
15,196.6656516730834,0.0016060882629859335,0.08881414862440247
16,190.99707844618052,0.0015148367259324024,0.09032898535033487
17,184.09463385287918,0.0014073257572365051,0.09173631110757138
18,183.11189402338704,0.001392340599169405,0.09312865170674078
19,180.13211324193878,0.0013473941745665052,0.09447604588130729
20,176.03235932645933,0.0012867595402098891,0.09576280542151717
